word,tag
Чуть,PRCL
ночь,NOUN
превратится,VERB
в,PREP
рассвет,NOUN
вижу,VERB
каждый,ADJF
день,NOUN
я,NPRO
кто,NPRO
в,PREP
глав,NOUN
кто,NPRO
в,PREP
ком,NOUN
кто,NPRO
в,PREP
полит,NOUN
кто,NPRO
в,PREP
просвет,NOUN
расходится,VERB
народ,NOUN
в,PREP
учрежденья,NOUN
Обдают,VERB
дождем,NOUN
дела,NOUN
бумажные,ADJF
чуть,ADVB
войдешь,VERB
в,PREP
здание,NOUN
отобрав,GRND
с,PREP
полсотни,NUM
самые,ADJF
важные,ADJF
служащие,NOUN
расходятся,VERB
на,PREP
заседания,NOUN
Заявишься,VERB
Не,PRCL
могут,VERB
ли,PRCL
аудиенцию,NOUN
дать,INFN
Хожу,VERB
со,PREP
времени,NOUN
она,SPRO
Товарищ,NOUN
Иван,NOUN
Ваныч,NOUN
ушли,VERB
заседать,INFN
объединение,NOUN
Тео,NOUN
и,CONJ
Гукона,NOUN
Исколесишь,VERB
сто,NUM
лестниц,NOUN
Свет,NOUN
не,PRCL
мил,ADJS
Опять,ADVB
через,PREP
час,NOUN
велели,VERB
прийти,INFN
вам,NPRO
Заседают,VERB
покупка,NOUN
склянки,NOUN
чернил,NOUN
Губкооперативом,NOUN
Через,PREP
час,NOUN
ни,PRCL
секретаря,NOUN
ни,PRCL
секретарши,NOUN
нет,PRCL
голо,ADJS
Все,ADJF
до,PREP
22-х,NUM
лет,NOUN
на,PREP
заседании,NOUN
комсомола,NOUN
снова,ADVB
взбираюсь,GRND
глядя,GRND
на,PREP
ночь,NOUN
на,PREP
верхний,ADJF
этаж,NOUN
семиэтажного,ADJF
дома,NOUN
Пришел,VERB
товарищ,NOUN
Иван,NOUN
Ваныч,NOUN
На,PREP
заседании,NOUN
А-бе-ве-ге-де-е-же-зе-кома,NOUN
Взъяренный,VERB
на,PREP
заседание,NOUN
врываюсь,VERB
лавиной,NOUN
дикие,ADJF
проклятья,NOUN
дорогой,NOUN
изрыгая,GRND
И,CONJ
вижу,VERB
сидят,VERB
людей,NOUN
половины,NOUN
О,INTJ
дьявольщина,NOUN
Где,ADVB
же,PRCL
половина,NOUN
другая,ADJF
Зарезали,VERB
Убили,VERB
Мечусь,VERB
оря,GRND
От,PREP
страшной,ADJF
картины,NOUN
свихнулся,VERB
разум,NOUN
И,CONJ
слышу,VERB
спокойнейший,ADJF
голосок,NOUN
секретаря,NOUN
Оне,NPRO
на,PREP
двух,NUM
заседаниях,NOUN
сразу,ADVB
В,PREP
день,NOUN
заседаний,NOUN
на,PREP
двадцать,NUM
надо,PRED
поспеть,INFN
нам,NPRO
Поневоле,ADVB
приходится,VERB
раздвояться,INFN
До,PREP
пояса,NOUN
здесь,ADVB
а,CONJ
остальное,ADJF
там,ADVB
С,PREP
волнением,NOUN
не,PRCL
уснешь,VERB
Утро,NOUN
раннее,ADJF
Мечтой,NOUN
встречаю,VERB
рассвет,NOUN
ранний,ADJF
О,INTJ
хотя,PRCL
бы,PRCL
еще,ADVB
одно,NUM
заседание,NOUN
относительно,PREP
искоренения,NOUN
всех,ADJF
заседаний,NOUN
Дым,NOUN
табачный,ADJF
воздух,NOUN
выел,VERB
Комната,NOUN
глава,NOUN
в,PREP
крученыховском,ADJF
аде,NOUN
Вспомни,VERB
за,PREP
этим,ADJF
окном,NOUN
впервые,ADVB
руки,NOUN
твои,ADJF
исступленный,ADJF
гладил,VERB
Сегодня,ADVB
сидишь,VERB
вот,PRCL
сердце,NOUN
в,PREP
железе,NOUN
День,NOUN
еще,ADVB
выгонишь,VERB
можешь,VERB
быть,INFN
изругав,GRND
В,PREP
мутной,ADJF
передней,NOUN
долго,ADVB
не,PRCL
влезет,VERB
сломанная,ADJF
дрожью,NOUN
рука,NOUN
в,PREP
рукав,NOUN
